Time         X         Y        Az
   3.341 -99.415 -99.348 228.065
   3.356-100.283-100.316 228.065
   3.373-101.270-101.162 220.617
   3.389-102.358-101.873 213.168
   3.403-103.530-102.437 205.720
   3.419-104.764-102.845 198.272
   3.434-106.041-103.089 190.823
   3.449-107.339-103.165 183.375
   3.465-108.635-103.073 175.926
   3.481-109.909-102.813 168.478
   3.497-111.139-102.391 161.029
   3.513-112.303-101.812 153.581
   3.529-113.382-101.088 146.132
   3.544-114.359-100.230 138.684
   3.565-115.216 -99.252 131.236
   3.575-115.939 -98.172 123.787
   3.590-116.515 -97.007 116.339
   3.605-116.936 -95.777 108.890
   3.620-117.194 -94.502 101.442
   3.636-117.285 -93.206  93.993
   3.651-117.206 -91.908  86.545
   3.667-116.960 -90.631  79.096
   3.682-116.551 -89.398  71.648
   3.698-115.985 -88.227  64.199
   3.714-115.273 -87.140  56.751
   3.728-114.425 -86.154  49.303
   3.743-113.457 -85.287  41.854
   3.759-112.384 -84.552  34.406
   3.775-111.225 -83.963  26.957
   3.790-110.000 -83.529  19.509
   3.806-108.729 -83.257  12.060
   3.821-107.433 -83.153   4.612
   3.837-106.134 -83.217 357.163
   3.853-104.855 -83.449 349.715
   3.868-103.617 -83.845 342.266
   3.884-102.441 -84.398 334.818
   3.899-101.346 -85.099 327.370
   3.913-100.351 -85.936 319.921
   3.929 -99.473 -86.895 312.473
   3.945 -98.727 -87.960 305.024
   3.961 -98.125 -89.112 297.576
   3.977 -97.678 -90.333 290.127
   3.992 -97.393 -91.601 282.679
   4.007 -97.274 -92.896 275.230
   4.022 -97.324 -94.195 267.782
   4.037 -97.543 -95.476 260.334
   4.052 -97.925 -96.719 252.885
   4.067 -98.466 -97.901 245.437
   4.082 -99.155 -99.003 237.988
   4.098 -99.981-100.007 230.540
   4.112-100.930-100.895 223.091
   4.128-101.987-101.653 215.643
   4.144-103.133-102.267 208.194
   4.160-104.348-102.727 200.746
   4.177-105.613-103.026 193.297
   4.192-106.907-103.159 185.849
   4.209-108.206-103.123 178.401
   4.222-109.490-102.918 170.952
   4.238-110.736-102.549 163.504
   4.254-111.925-102.021 156.055
   4.271-113.034-101.344 148.607
   4.284-114.047-100.529 141.158
