Time         X         Y        Az
-------------------------------------------
   0.021   1.222  50.445  20.000
   0.036   2.443  50.889  20.000
   0.052   3.665  51.334  20.000
   0.067   4.886  51.779  20.000
   0.082   6.108  52.223  20.000
   0.097   7.330  52.668  20.000
   0.112   8.487  53.259  27.056
   0.128   9.645  53.850  27.056
   0.143  10.803  54.442  27.056
   0.159  11.961  55.033  27.056
   0.175  13.118  55.624  27.056
   0.190  14.276  56.216  27.056
   0.205  15.434  56.807  27.056
   0.221  16.591  57.398  27.056
   0.236  17.749  57.990  27.056
   0.251  18.907  58.581  27.056
   0.267  20.065  59.172  27.056
   0.282  21.222  59.764  27.056
   0.297  22.380  60.355  27.056
   0.312  23.538  60.946  27.056
   0.328  24.696  61.538  27.056
   0.343  25.853  62.129  27.056
   0.358  27.011  62.720  27.056
   0.374  28.169  63.312  27.056
   0.390  29.326  63.903  27.056
   0.405  30.484  64.494  27.056
   0.420  31.642  65.086  27.056
   0.435  32.800  65.677  27.056
   0.451  33.957  66.268  27.056
   0.467  35.115  66.859  27.056
   0.482  36.273  67.451  27.056
   0.498  37.431  68.042  27.056
   0.513  38.588  68.633  27.056
   0.531  39.746  69.225  27.056
   0.544  40.904  69.816  27.056
   0.559  42.062  70.407  27.056
   0.574  43.219  70.999  27.056
   0.590  44.377  71.590  27.056
   0.605  45.535  72.181  27.056
   0.621  46.692  72.773  27.056
   0.637  47.850  73.364  27.056
   0.652  49.008  73.955  27.056
   0.668  50.166  74.547  27.056
   0.683  51.323  75.138  27.056
   0.698  52.481  75.729  27.056
   0.714  53.639  76.321  27.056
   0.729  54.797  76.912  27.056
   0.745  55.954  77.503  27.056
   0.761  57.112  78.095  27.056
   0.777  58.270  78.686  27.056
   0.793  59.427  79.277  27.056
   0.809  60.585  79.869  27.056
   0.826  61.743  80.460  27.056
   0.857  62.901  81.051  27.056
   0.880  64.058  81.642  27.056
   0.920  65.216  82.234  27.056
   0.948  66.374  82.825  27.056
   0.962  67.532  83.416  27.056
   0.980  68.689  84.008  27.056
   1.040  69.847  84.599  27.056
   1.058  71.005  85.190  27.056
   1.072  72.162  85.782  27.056
   1.089  73.320  86.373  27.056
   1.103  74.478  86.964  27.056
   1.119  75.636  87.556  27.056
   1.134  76.793  88.147  27.056
   1.160  77.951  88.738  27.056
   1.259  79.109  89.330  27.056
   1.336  80.267  89.921  27.056
   1.348  81.424  90.512  27.056
   1.364  82.582  91.104  27.056
   1.401  83.740  91.695  27.056
   1.452  84.898  92.286  27.056
   1.508  86.055  92.878  27.056
   1.555  87.213  93.469  27.056
   1.625  88.371  94.060  27.056
   1.642  89.528  94.652  27.056
   1.663  90.686  95.243  27.056
   1.692  91.844  95.834  27.056
   1.716  93.002  96.426  27.056
   1.736  94.159  97.017  27.056
   1.765  95.317  97.608  27.056
   1.777  96.475  98.199  27.056
   1.795  97.633  98.791  27.056
   1.808  98.790  99.382  27.056
   1.825  99.948  99.973  27.056
   1.841 101.106 100.565  27.056
   1.844 102.177 101.301  34.505
   1.856 103.144 102.170  41.953
   1.872 103.990 103.157  49.401
   1.889 104.701 104.246  56.850
   1.903 105.265 105.417  64.298
   1.918 105.672 106.652  71.747
   1.935 105.915 107.929  79.195
   1.966 105.992 109.226  86.644
   1.985 105.899 110.523  94.092
   1.996 105.639 111.797 101.541
   2.015 105.216 113.026 108.989
   2.036 104.637 114.190 116.437
   2.077 103.912 115.269 123.886
   2.097 103.053 116.245 131.334
   2.140 102.076 117.102 138.783
   2.155 100.995 117.825 146.231
   2.171  99.830 118.401 153.680
   2.202  98.600 118.822 161.128
   2.218  97.325 119.079 168.577
   2.248  96.028 119.169 176.025
   2.263  94.731 119.090 183.474
   2.279  93.454 118.844 190.922
   2.294  92.221 118.434 198.370
   2.315  91.050 117.868 205.819
   2.340  89.963 117.155 213.267
   2.357  88.978 116.307 220.716
   2.370  88.111 115.338 228.164
   2.386  87.377 114.266 235.613
   2.401  86.788 113.107 243.061
   2.416  86.354 111.881 250.510
   2.432  86.083 110.610 257.958
   2.453  85.979 109.314 265.407
   2.463  86.044 108.016 272.855
   2.478  86.276 106.737 280.303
   2.493  86.672 105.498 287.752
   2.509  87.226 104.322 295.200
   2.524  87.927 103.228 302.649
   2.540  88.765 102.233 310.097
   2.555  89.724 101.356 317.546
   2.579  90.789 100.610 324.994
   2.603  91.941 100.008 332.443
   2.616  93.162  99.562 339.891
   2.632  94.430  99.277 347.339
   2.651  95.725  99.159 354.788
   2.661  97.024  99.209   2.236
   2.678  98.305  99.428   9.685
   2.693  99.548  99.811  17.133
   2.708 100.747 100.312  22.685
   2.725 101.871 100.965  30.133
   2.740 102.902 101.758  37.581
   2.755 103.820 102.677  45.030
   2.771 104.612 103.709  52.478
   2.784 105.264 104.834  59.927
   2.801 105.764 106.033  67.375
   2.816 106.104 107.288  74.824
   2.831 106.279 108.576  82.272
   2.846 106.285 109.876  89.721
   2.861 106.123 111.166  97.169
   2.876 105.795 112.424 104.618
   2.892 105.306 113.629 112.066
   2.908 104.666 114.760 119.514
   2.923 103.884 115.799 126.963
   2.943 102.975 116.728 134.411
   2.954 101.952 117.530 141.860
